,WLoc,WTeam,LTeam
0,H,Boston Celtics,Philadelphia 76ers
1,H,Golden State Warriors,Oklahoma City Thunder
2,V,Milwaukee Bucks,Charlotte Hornets
3,H,Detroit Pistons,Brooklyn Nets
4,H,Indiana Pacers,Memphis Grizzlies
5,H,Orlando Magic,Miami Heat
6,H,New York Knicks,Atlanta Hawks
7,H,Toronto Raptors,Cleveland Cavaliers
8,V,New Orleans Pelicans,Houston Rockets
9,H,San Antonio Spurs,Minnesota Timberwolves
10,V,Utah Jazz,Sacramento Kings
11,V,Denver Nuggets,Los Angeles Clippers
12,H,Phoenix Suns,Dallas Mavericks
13,H,Philadelphia 76ers,Chicago Bulls
14,V,Miami Heat,Washington Wizards
15,H,Portland Trail Blazers,Los Angeles Lakers
16,V,Charlotte Hornets,Orlando Magic
17,H,Brooklyn Nets,New York Knicks
18,H,Memphis Grizzlies,Atlanta Hawks
19,H,Minnesota Timberwolves,Cleveland Cavaliers
20,H,New Orleans Pelicans,Sacramento Kings
21,H,Toronto Raptors,Boston Celtics
22,H,Milwaukee Bucks,Indiana Pacers
23,H,Los Angeles Clippers,Oklahoma City Thunder
24,V,Golden State Warriors,Utah Jazz
25,H,Indiana Pacers,Brooklyn Nets
26,V,Toronto Raptors,Washington Wizards
27,V,Boston Celtics,New York Knicks
28,H,Philadelphia 76ers,Orlando Magic
29,V,Detroit Pistons,Chicago Bulls
30,V,Charlotte Hornets,Miami Heat
31,H,Dallas Mavericks,Minnesota Timberwolves
32,H,Denver Nuggets,Phoenix Suns
33,H,Portland Trail Blazers,San Antonio Spurs
34,V,Houston Rockets,Los Angeles Lakers
35,V,Atlanta Hawks,Cleveland Cavaliers
36,V,Sacramento Kings,Oklahoma City Thunder
37,H,Denver Nuggets,Golden State Warriors
38,H,Los Angeles Clippers,Houston Rockets
39,V,Orlando Magic,Boston Celtics
40,H,Toronto Raptors,Charlotte Hornets
41,H,Milwaukee Bucks,New York Knicks
42,H,Minnesota Timberwolves,Indiana Pacers
43,H,Dallas Mavericks,Chicago Bulls
44,V,Memphis Grizzlies,Utah Jazz
45,V,Washington Wizards,Portland Trail Blazers
46,H,Golden State Warriors,Phoenix Suns
47,V,San Antonio Spurs,Los Angeles Lakers
48,H,Detroit Pistons,Philadelphia 76ers
49,H,New Orleans Pelicans,Los Angeles Clippers
50,H,Denver Nuggets,Sacramento Kings
51,H,Atlanta Hawks,Dallas Mavericks
52,V,Brooklyn Nets,Cleveland Cavaliers
53,H,Miami Heat,New York Knicks
54,H,Toronto Raptors,Minnesota Timberwolves
55,H,Chicago Bulls,Charlotte Hornets
56,V,Utah Jazz,Houston Rockets
57,V,Indiana Pacers,San Antonio Spurs
58,H,Milwaukee Bucks,Philadelphia 76ers
59,V,Los Angeles Lakers,Phoenix Suns
60,H,Sacramento Kings,Memphis Grizzlies
61,H,Golden State Warriors,Washington Wizards
62,H,Detroit Pistons,Cleveland Cavaliers
63,V,Portland Trail Blazers,Orlando Magic
64,V,Boston Celtics,Oklahoma City Thunder
65,H,Los Angeles Lakers,Denver Nuggets
66,H,Charlotte Hornets,Chicago Bulls
67,V,Golden State Warriors,New York Knicks
68,H,Toronto Raptors,Dallas Mavericks
69,V,Los Angeles Clippers,Houston Rockets
70,V,Milwaukee Bucks,Minnesota Timberwolves
71,H,New Orleans Pelicans,Brooklyn Nets
72,H,Sacramento Kings,Washington Wizards
73,V,Boston Celtics,Detroit Pistons
74,V,Utah Jazz,New Orleans Pelicans
75,V,Chicago Bulls,Atlanta Hawks
76,V,Indiana Pacers,Cleveland Cavaliers
77,H,Philadelphia 76ers,Charlotte Hornets
78,H,Memphis Grizzlies,Phoenix Suns
79,H,Miami Heat,Portland Trail Blazers
80,H,Milwaukee Bucks,Orlando Magic
81,H,San Antonio Spurs,Los Angeles Lakers
82,V,Golden State Warriors,Brooklyn Nets
83,V,Utah Jazz,Dallas Mavericks
84,H,Oklahoma City Thunder,Phoenix Suns
85,H,Los Angeles Clippers,Washington Wizards
86,V,Portland Trail Blazers,Indiana Pacers
87,H,Philadelphia 76ers,Atlanta Hawks
88,V,Sacramento Kings,Miami Heat
89,H,New York Knicks,Brooklyn Nets
90,V,Golden State Warriors,Chicago Bulls
91,H,Milwaukee Bucks,Toronto Raptors
92,H,Minnesota Timberwolves,Los Angeles Lakers
93,H,San Antonio Spurs,Dallas Mavericks
94,H,Denver Nuggets,New Orleans Pelicans
95,H,Charlotte Hornets,Miami Heat
96,H,Cleveland Cavaliers,Atlanta Hawks
97,V,Sacramento Kings,Orlando Magic
98,H,Boston Celtics,Detroit Pistons
99,H,Toronto Raptors,Philadelphia 76ers
100,V,Portland Trail Blazers,Houston Rockets
101,H,Memphis Grizzlies,Washington Wizards
102,H,Oklahoma City Thunder,Los Angeles Clippers
103,H,Brooklyn Nets,Detroit Pistons
104,V,Denver Nuggets,Chicago Bulls
105,H,Minnesota Timberwolves,Utah Jazz
106,V,Indiana Pacers,New York Knicks
107,H,Golden State Warriors,New Orleans Pelicans
108,H,Los Angeles Lakers,Dallas Mavericks
109,V,San Antonio Spurs,Phoenix Suns
0,V,Oklahoma City Thunder,Charlotte Hornets
1,V,Denver Nuggets,Cleveland Cavaliers
2,H,Philadelphia 76ers,Los Angeles Clippers
3,V,Sacramento Kings,Atlanta Hawks
4,H,Boston Celtics,Milwaukee Bucks
5,H,Portland Trail Blazers,New Orleans Pelicans
6,V,Los Angeles Clippers,Orlando Magic
7,V,Houston Rockets,Brooklyn Nets
8,V,Indiana Pacers,Chicago Bulls
9,V,Oklahoma City Thunder,Washington Wizards
10,V,New York Knicks,Dallas Mavericks
11,V,Memphis Grizzlies,Utah Jazz
12,V,Toronto Raptors,Phoenix Suns
13,H,Golden State Warriors,Minnesota Timberwolves
14,H,Philadelphia 76ers,Detroit Pistons
15,H,Charlotte Hornets,Cleveland Cavaliers
16,H,Indiana Pacers,Boston Celtics
17,H,Atlanta Hawks,Miami Heat
18,V,Houston Rockets,Chicago Bulls
19,H,San Antonio Spurs,New Orleans Pelicans
20,H,Denver Nuggets,Utah Jazz
21,V,Los Angeles Lakers,Portland Trail Blazers
22,H,Milwaukee Bucks,Sacramento Kings
23,H,Brooklyn Nets,Philadelphia 76ers
24,H,Washington Wizards,New York Knicks
25,V,Orlando Magic,San Antonio Spurs
26,H,Phoenix Suns,Memphis Grizzlies
27,H,Portland Trail Blazers,Minnesota Timberwolves
28,V,Toronto Raptors,Los Angeles Lakers
29,V,Miami Heat,Detroit Pistons
30,V,Houston Rockets,Indiana Pacers
31,H,Orlando Magic,Cleveland Cavaliers
32,V,Chicago Bulls,New York Knicks
33,H,Oklahoma City Thunder,New Orleans Pelicans
34,H,Denver Nuggets,Boston Celtics
35,V,Toronto Raptors,Utah Jazz
36,H,Golden State Warriors,Memphis Grizzlies
37,H,Los Angeles Clippers,Minnesota Timberwolves
38,H,Charlotte Hornets,Atlanta Hawks
39,H,Dallas Mavericks,Washington Wizards
40,V,Brooklyn Nets,Phoenix Suns
41,H,Portland Trail Blazers,Milwaukee Bucks
42,V,Oklahoma City Thunder,Cleveland Cavaliers
43,V,Detroit Pistons,Orlando Magic
44,V,New York Knicks,Atlanta Hawks
45,H,Miami Heat,San Antonio Spurs
46,V,Philadelphia 76ers,Indiana Pacers
47,H,Memphis Grizzlies,Denver Nuggets
48,H,New Orleans Pelicans,Chicago Bulls
49,H,Utah Jazz,Dallas Mavericks
50,V,Toronto Raptors,Sacramento Kings
51,H,Los Angeles Lakers,Minnesota Timberwolves
52,H,Oklahoma City Thunder,Houston Rockets
53,V,Boston Celtics,Phoenix Suns
54,H,Portland Trail Blazers,Los Angeles Clippers
55,V,Milwaukee Bucks,Golden State Warriors
56,H,Orlando Magic,Washington Wizards
57,H,Philadelphia 76ers,Charlotte Hornets
58,V,Detroit Pistons,Atlanta Hawks
59,V,Indiana Pacers,Miami Heat
60,V,Brooklyn Nets,Denver Nuggets
61,H,Utah Jazz,Boston Celtics
62,H,Sacramento Kings,Minnesota Timberwolves
63,H,Toronto Raptors,New York Knicks
64,H,Los Angeles Clippers,Milwaukee Bucks
65,H,New Orleans Pelicans,Phoenix Suns
66,H,Chicago Bulls,Cleveland Cavaliers
67,H,Memphis Grizzlies,Philadelphia 76ers
68,V,Washington Wizards,Miami Heat
69,H,Golden State Warriors,Brooklyn Nets
70,H,San Antonio Spurs,Houston Rockets
71,H,Dallas Mavericks,Oklahoma City Thunder
72,V,Los Angeles Lakers,Sacramento Kings
73,V,Charlotte Hornets,Detroit Pistons
74,H,Houston Rockets,Indiana Pacers
75,V,Orlando Magic,New York Knicks
76,V,Milwaukee Bucks,Denver Nuggets
77,H,Portland Trail Blazers,Boston Celtics
78,H,Los Angeles Lakers,Atlanta Hawks
79,H,Washington Wizards,Orlando Magic
80,V,Philadelphia 76ers,Miami Heat
81,V,New Orleans Pelicans,Toronto Raptors
82,V,Dallas Mavericks,Chicago Bulls
83,V,Utah Jazz,Memphis Grizzlies
84,H,Minnesota Timberwolves,Brooklyn Nets
85,H,Oklahoma City Thunder,Phoenix Suns
86,H,Sacramento Kings,San Antonio Spurs
87,H,Los Angeles Clippers,Golden State Warriors
88,H,Cleveland Cavaliers,Charlotte Hornets
89,V,Houston Rockets,Denver Nuggets
90,H,Golden State Warriors,Atlanta Hawks
91,H,Orlando Magic,Philadelphia 76ers
92,H,Washington Wizards,Cleveland Cavaliers
93,H,Boston Celtics,Chicago Bulls
94,V,Miami Heat,Brooklyn Nets
95,V,Detroit Pistons,Toronto Raptors
96,V,Memphis Grizzlies,Milwaukee Bucks
97,H,Minnesota Timberwolves,New Orleans Pelicans
98,H,Oklahoma City Thunder,New York Knicks
99,H,Dallas Mavericks,Utah Jazz
100,H,Phoenix Suns,San Antonio Spurs
101,H,Los Angeles Lakers,Portland Trail Blazers
102,H,Houston Rockets,Golden State Warriors
103,H,Denver Nuggets,Atlanta Hawks
104,H,Los Angeles Clippers,San Antonio Spurs
105,H,Boston Celtics,Toronto Raptors
106,H,Indiana Pacers,Miami Heat
107,H,Philadelphia 76ers,Utah Jazz
108,V,Brooklyn Nets,Washington Wizards
109,H,Memphis Grizzlies,Sacramento Kings
110,H,Minnesota Timberwolves,Portland Trail Blazers
111,H,New Orleans Pelicans,New York Knicks
112,H,Milwaukee Bucks,Chicago Bulls
113,V,Los Angeles Clippers,Brooklyn Nets
114,V,Philadelphia 76ers,Charlotte Hornets
115,H,Indiana Pacers,Atlanta Hawks
116,H,New Orleans Pelicans,Denver Nuggets
117,H,Orlando Magic,Los Angeles Lakers
118,V,Utah Jazz,Boston Celtics
119,V,Toronto Raptors,Chicago Bulls
120,H,Houston Rockets,Sacramento Kings
121,H,Dallas Mavericks,Golden State Warriors
122,V,Oklahoma City Thunder,Phoenix Suns
123,V,Memphis Grizzlies,Minnesota Timberwolves
124,V,Los Angeles Lakers,Miami Heat
125,H,Orlando Magic,New York Knicks
126,V,Portland Trail Blazers,Washington Wizards
127,H,San Antonio Spurs,Golden State Warriors
128,H,Charlotte Hornets,Boston Celtics
129,H,Detroit Pistons,Cleveland Cavaliers
130,H,Indiana Pacers,Utah Jazz
131,H,Philadelphia 76ers,Phoenix Suns
132,V,Los Angeles Clippers,Atlanta Hawks
133,H,Memphis Grizzlies,Dallas Mavericks
134,H,Milwaukee Bucks,Denver Nuggets
135,H,New Orleans Pelicans,San Antonio Spurs
136,H,Sacramento Kings,Oklahoma City Thunder
137,V,Toronto Raptors,Orlando Magic
138,H,Washington Wizards,Los Angeles Clippers
139,V,Brooklyn Nets,Miami Heat
140,V,Portland Trail Blazers,New York Knicks
141,H,Charlotte Hornets,Indiana Pacers
142,H,Philadelphia 76ers,New Orleans Pelicans
143,V,Toronto Raptors,Atlanta Hawks
144,V,New York Knicks,Boston Celtics
145,H,Chicago Bulls,Phoenix Suns
146,V,Los Angeles Lakers,Cleveland Cavaliers
147,H,Houston Rockets,Detroit Pistons
148,H,Milwaukee Bucks,Portland Trail Blazers
149,V,Denver Nuggets,Minnesota Timberwolves
150,H,Dallas Mavericks,Brooklyn Nets
151,V,Memphis Grizzlies,San Antonio Spurs
152,V,Sacramento Kings,Utah Jazz
153,V,Oklahoma City Thunder,Golden State Warriors
154,V,Minnesota Timberwolves,Brooklyn Nets
155,H,Los Angeles Clippers,Memphis Grizzlies
156,H,Detroit Pistons,Houston Rockets
157,V,Boston Celtics,Atlanta Hawks
158,H,New York Knicks,New Orleans Pelicans
159,V,Cleveland Cavaliers,Philadelphia 76ers
160,H,Toronto Raptors,Washington Wizards
161,V,Miami Heat,Chicago Bulls
162,V,San Antonio Spurs,Indiana Pacers
163,H,Oklahoma City Thunder,Charlotte Hornets
164,V,Phoenix Suns,Milwaukee Bucks
165,H,Denver Nuggets,Orlando Magic
166,H,Golden State Warriors,Portland Trail Blazers
167,H,Los Angeles Lakers,Utah Jazz
168,H,Cleveland Cavaliers,Houston Rockets
169,H,Minnesota Timberwolves,Chicago Bulls
170,V,Denver Nuggets,Oklahoma City Thunder
171,H,Washington Wizards,New Orleans Pelicans
172,H,Dallas Mavericks,Boston Celtics
173,H,Golden State Warriors,Sacramento Kings
174,H,Milwaukee Bucks,San Antonio Spurs
175,V,Orlando Magic,Los Angeles Lakers
176,H,Detroit Pistons,Phoenix Suns
177,H,Atlanta Hawks,Charlotte Hornets
178,V,Philadelphia 76ers,Brooklyn Nets
179,V,New York Knicks,Memphis Grizzlies
180,H,Toronto Raptors,Miami Heat
181,V,Utah Jazz,Sacramento Kings
182,V,Los Angeles Clippers,Portland Trail Blazers
183,H,Charlotte Hornets,Milwaukee Bucks
184,V,Minnesota Timberwolves,Cleveland Cavaliers
185,H,Washington Wizards,Houston Rockets
186,V,San Antonio Spurs,Chicago Bulls
187,V,Boston Celtics,New Orleans Pelicans
188,V,Indiana Pacers,Utah Jazz
189,H,Golden State Warriors,Orlando Magic
190,H,Detroit Pistons,New York Knicks
191,V,Atlanta Hawks,Miami Heat
192,V,Toronto Raptors,Memphis Grizzlies
193,H,Denver Nuggets,Los Angeles Lakers
194,V,Indiana Pacers,Phoenix Suns
195,H,Charlotte Hornets,Atlanta Hawks
196,H,Philadelphia 76ers,New York Knicks
197,V,Utah Jazz,Brooklyn Nets
198,V,Dallas Mavericks,Houston Rockets
199,H,Milwaukee Bucks,Chicago Bulls
200,H,Minnesota Timberwolves,San Antonio Spurs
201,H,New Orleans Pelicans,Washington Wizards
202,H,Oklahoma City Thunder,Cleveland Cavaliers
203,H,Portland Trail Blazers,Orlando Magic
204,H,Los Angeles Clippers,Phoenix Suns
205,H,Toronto Raptors,Golden State Warriors
206,H,Los Angeles Lakers,Indiana Pacers
207,V,Los Angeles Clippers,Sacramento Kings
208,H,Boston Celtics,Cleveland Cavaliers
209,V,Utah Jazz,Charlotte Hornets
210,H,Detroit Pistons,Chicago Bulls
211,H,Philadelphia 76ers,Washington Wizards
212,V,Memphis Grizzlies,Brooklyn Nets
213,H,Miami Heat,New Orleans Pelicans
214,H,Oklahoma City Thunder,Atlanta Hawks
215,V,Houston Rockets,San Antonio Spurs
216,V,Orlando Magic,Phoenix Suns
217,H,Los Angeles Lakers,Dallas Mavericks
218,V,Denver Nuggets,Portland Trail Blazers
0,H,New York Knicks,Milwaukee Bucks
1,H,Detroit Pistons,Golden State Warriors
2,H,Washington Wizards,Brooklyn Nets
3,V,Toronto Raptors,Cleveland Cavaliers
4,H,Houston Rockets,Chicago Bulls
5,V,Boston Celtics,Minnesota Timberwolves
6,H,Sacramento Kings,Indiana Pacers
7,H,Los Angeles Lakers,Phoenix Suns
8,V,New Orleans Pelicans,Charlotte Hornets
9,H,Miami Heat,Utah Jazz
10,H,Philadelphia 76ers,Memphis Grizzlies
11,H,Dallas Mavericks,Los Angeles Clippers
12,H,San Antonio Spurs,Portland Trail Blazers
13,V,Oklahoma City Thunder,Detroit Pistons
14,V,Golden State Warriors,Atlanta Hawks
15,V,Cleveland Cavaliers,Brooklyn Nets
16,V,Washington Wizards,New York Knicks
17,V,Denver Nuggets,Toronto Raptors
18,H,Minnesota Timberwolves,Houston Rockets
19,V,Los Angeles Clippers,New Orleans Pelicans
20,H,Indiana Pacers,Chicago Bulls
21,V,Orlando Magic,Miami Heat
22,H,Dallas Mavericks,Portland Trail Blazers
23,V,Sacramento Kings,Phoenix Suns
24,H,Utah Jazz,San Antonio Spurs
25,V,Golden State Warriors,Cleveland Cavaliers
26,V,Denver Nuggets,Orlando Magic
27,V,Washington Wizards,Atlanta Hawks
28,V,Oklahoma City Thunder,Brooklyn Nets
29,H,Memphis Grizzlies,Los Angeles Clippers
30,H,Milwaukee Bucks,Detroit Pistons
31,H,Minnesota Timberwolves,Charlotte Hornets
32,H,New Orleans Pelicans,Dallas Mavericks
33,H,Toronto Raptors,Philadelphia 76ers
34,H,Los Angeles Lakers,San Antonio Spurs
35,H,Boston Celtics,New York Knicks
36,H,Portland Trail Blazers,Phoenix Suns
37,H,Utah Jazz,Houston Rockets
38,H,Charlotte Hornets,Denver Nuggets
39,V,Philadelphia 76ers,Detroit Pistons
40,V,Indiana Pacers,Orlando Magic
41,H,Brooklyn Nets,Toronto Raptors
42,V,Sacramento Kings,Cleveland Cavaliers
43,H,Chicago Bulls,Oklahoma City Thunder
44,V,Memphis Grizzlies,New Orleans Pelicans
45,H,San Antonio Spurs,Los Angeles Lakers
46,V,Miami Heat,Phoenix Suns
47,V,Golden State Warriors,Milwaukee Bucks
48,H,Dallas Mavericks,Houston Rockets
49,H,Indiana Pacers,Sacramento Kings
50,H,Atlanta Hawks,Denver Nuggets
51,H,Cleveland Cavaliers,Washington Wizards
52,V,Brooklyn Nets,New York Knicks
53,V,Boston Celtics,Chicago Bulls
54,V,Los Angeles Lakers,Memphis Grizzlies
55,H,Portland Trail Blazers,Minnesota Timberwolves
56,V,Miami Heat,Los Angeles Clippers
57,V,New Orleans Pelicans,Detroit Pistons
58,V,Milwaukee Bucks,Toronto Raptors
59,H,San Antonio Spurs,Utah Jazz
60,V,Charlotte Hornets,New York Knicks
61,H,Indiana Pacers,Washington Wizards
62,H,Philadelphia 76ers,Detroit Pistons
63,H,Boston Celtics,New Orleans Pelicans
64,V,Sacramento Kings,Chicago Bulls
65,H,Milwaukee Bucks,Cleveland Cavaliers
66,H,Oklahoma City Thunder,Utah Jazz
67,H,Dallas Mavericks,Orlando Magic
68,H,Denver Nuggets,Memphis Grizzlies
69,V,Los Angeles Clippers,Phoenix Suns
70,H,Golden State Warriors,Minnesota Timberwolves
71,H,Los Angeles Lakers,Miami Heat
72,H,Houston Rockets,Portland Trail Blazers
73,H,San Antonio Spurs,Phoenix Suns
74,V,Toronto Raptors,Los Angeles Clippers
75,H,Charlotte Hornets,Detroit Pistons
76,H,Cleveland Cavaliers,New York Knicks
77,H,Indiana Pacers,Milwaukee Bucks
78,V,Brooklyn Nets,Philadelphia 76ers
79,V,Boston Celtics,Washington Wizards
80,H,Memphis Grizzlies,Portland Trail Blazers
81,H,New Orleans Pelicans,Oklahoma City Thunder
82,H,Dallas Mavericks,Atlanta Hawks
83,H,Utah Jazz,Miami Heat
84,H,Sacramento Kings,Minnesota Timberwolves
85,V,Toronto Raptors,Golden State Warriors
86,H,Houston Rockets,Los Angeles Lakers
87,H,San Antonio Spurs,Los Angeles Clippers
88,H,Orlando Magic,Chicago Bulls
89,H,Phoenix Suns,Dallas Mavericks
90,H,Boston Celtics,Atlanta Hawks
91,V,New York Knicks,Charlotte Hornets
92,H,Brooklyn Nets,Washington Wizards
93,V,Milwaukee Bucks,Cleveland Cavaliers
94,V,Indiana Pacers,Philadelphia 76ers
95,V,Miami Heat,Memphis Grizzlies
96,H,Denver Nuggets,Oklahoma City Thunder
97,H,Portland Trail Blazers,Toronto Raptors
98,V,Golden State Warriors,Sacramento Kings
99,H,Orlando Magic,Utah Jazz
100,V,Los Angeles Lakers,Charlotte Hornets
101,H,Detroit Pistons,Boston Celtics
102,V,Houston Rockets,Memphis Grizzlies
103,V,Chicago Bulls,San Antonio Spurs
104,H,Oklahoma City Thunder,Los Angeles Clippers
105,H,Phoenix Suns,Minnesota Timberwolves
106,H,Brooklyn Nets,Atlanta Hawks
107,V,Philadelphia 76ers,Cleveland Cavaliers
108,H,Indiana Pacers,New York Knicks
109,H,Washington Wizards,Los Angeles Lakers
